Utility_ID,Electric_Utility,State
475,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
476,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
477,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
478,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
479,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
480,PACIFICORP,Unknown
481,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
482,PUGET SOUND ENERGY INC,Unknown
483,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
484,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
485,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
486,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
487,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
488,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
489,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
490,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
491,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
